thickness,coolant_flow,material,max_temperature
0.008,4000.0,Inconel 718,1200.0
0.008,4000.0,SS304,1200.0
0.008,7000.0,Inconel 718,1200.0
0.008,7000.0,SS304,1200.0
0.008,10000.0,Inconel 718,1200.0
0.008,10000.0,SS304,1200.0
0.01,4000.0,Inconel 718,1200.0
0.01,4000.0,SS304,1200.0
0.01,7000.0,Inconel 718,1200.0
0.01,7000.0,SS304,1200.0
0.01,10000.0,Inconel 718,1200.0
0.01,10000.0,SS304,1200.0
0.012,4000.0,Inconel 718,1200.0
0.012,4000.0,SS304,1200.0
0.012,7000.0,Inconel 718,1200.0
0.012,7000.0,SS304,1200.0
0.012,10000.0,Inconel 718,1200.0
0.012,10000.0,SS304,1200.0
